Statistic,evaluated_complete_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
Mean,2890.487804878049,118.5609756097561,3.3333333333333335,9.341463414634147,21.991803278688526,12.336065573770492,17.747967479674795,6639046326.926829,42603.44715447154,31427.032520325203,0.7291851664241962,22.804878048780488,6.9997515955086875,7.0,9.855149386995812
SD,1245.952426307101,166.69173208825137,4.9764472590799524,9.213167046200319,14.01209389183887,10.331377749871534,12.606655473536268,10639065995.504917,19139.581250109983,14935.818125596636,0.03199704680026423,16.614559355185236,0.002754939079246124,0.0,4.703222292505727
Min,670.0,4.0,0.0,0.0,2.0,0.0,0.0,1613472.0,8023.0,5168.0,0.6420111191684795,2.0,6.969446247568687,7.0,2.9502771999686956
Median,2736.0,59.0,2.0,8.0,20.0,10.0,16.0,2168506368.0,38664.0,28561.0,0.7328603022484335,20.0,7.0,7.0,9.285342300310731
Max,6760.0,1153.0,23.0,57.0,58.0,50.0,58.0,66913910784.0,104983.0,79068.0,0.78964954288202,122.0,7.0,7.0,28.27697000000626
