Statistic,evaluated_complete_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
Mean,7.926829268292683,7.341463414634147,94.5609756097561,111.82142857142857,117.86363636363636,118.71296296296296,117.38,747.3252032520326,110.96747967479675,94.23577235772358,0.778045615195531,128.64227642276424,6.988623532068654,6.82657362240289,31.76239686990081
SD,5.144104905023852,4.3170065302066964,16.4117842215728,9.367582866012382,10.864045477802604,21.735904628455355,10.362589700751569,1173.871718463636,106.74467276294413,94.82019924709729,0.1360384977224929,17.170375785389464,0.039077646610603374,0.1758960326832255,29.85273205219654
Min,2.0,2.0,75.0,75.0,112.0,75.0,108.0,6.0,7.0,2.0,0.2857142857142857,110.0,6.75,6.333333333333333,2.703102100174874
Median,6.0,6.0,108.0,112.0,112.0,118.0,112.0,156.0,71.0,61.0,0.8442906574394463,118.0,7.0,6.78,17.361593100242317
Max,21.0,18.0,112.0,176.0,142.0,173.0,142.0,4080.0,488.0,422.0,0.9074074074074074,176.0,7.0,7.0,109.08295670012012
