Statistic,n_teams,percent_teams
Teams reaching 6.0/6.0,123,100.0
Teams reaching 6.5/6.5,112,91.0569105691057
Teams reaching 7.0/7.0,44,35.77235772357724
Teams reaching performance 7,108,87.8048780487805
Teams reaching satisfaction 7,50,40.65040650406504
