team_id,setting,n_employees,evaluated_complete_policies,unique_feasible_policies,frontier_size,cost_to_6_0_6_0,cost_to_6_5_6_5,cost_to_7_0_7_0,cost_to_perf_7,cost_to_sat_7,candidate_upper_bound,visited_nodes,pruned_nodes,pruned_pct,frontier_max_cost,frontier_max_performance,frontier_max_job_satisfaction,runtime_seconds
4010,design,2,6.0,6.0,6,108.0,110.0,,118.0,,255.0,109.0,96.0,0.8807339449541285,118.0,7.0,6.778333333333334,17.775089000351727
4020,design,3,6.0,6.0,6,108.0,110.0,,118.0,,4080.0,196.0,177.0,0.9030612244897959,118.0,7.0,6.5566666666666675,18.27007590001449
4050,design,2,7.0,7.0,7,110.0,,,,,160.0,95.0,81.0,0.8526315789473684,113.0,6.75,6.333333333333333,16.827301899902523
4060,design,1,6.0,6.0,6,108.0,110.0,,118.0,,17.0,18.0,11.0,0.6111111111111112,118.0,7.0,6.5566666666666675,20.341683099977672
4110,design,2,6.0,6.0,6,108.0,110.0,,118.0,,256.0,104.0,91.0,0.875,118.0,7.0,6.5566666666666675,19.23722829995677
4120,design,3,7.0,7.0,7,108.0,110.0,,118.0,,4080.0,227.0,205.0,0.9030837004405287,118.0,7.0,6.852222222222223,18.085699600167572
4150,design,1,6.0,6.0,6,110.0,113.0,,113.0,,9.0,10.0,3.0,0.3,113.0,7.0,6.666666666666667,10.131146399769932
4180,design,1,4.0,4.0,4,75.0,,,141.0,,6.0,7.0,2.0,0.2857142857142857,141.0,7.0,6.78,2.703102100174874
5010,design,2,19.0,19.0,18,112.0,117.0,,173.0,,180.0,134.0,104.0,0.7761194029850746,173.0,7.0,6.890000000000001,83.00588220031932
5020,design,2,18.0,18.0,15,112.0,176.0,,120.0,,135.0,109.0,82.0,0.7522935779816514,176.0,7.0,6.666666666666667,77.16483920020983
5040,design,2,13.0,13.0,12,85.0,110.0,,,,150.0,109.0,87.0,0.7981651376146789,130.0,6.96875,6.888333333333334,69.90557219972834
5050,design,2,2.0,2.0,2,75.0,112.0,112.0,112.0,112.0,180.0,70.0,63.0,0.9,112.0,7.0,7.0,11.426749399863183
5060,design,1,5.0,5.0,5,108.0,110.0,118.0,118.0,118.0,15.0,16.0,10.0,0.625,118.0,7.0,7.0,17.935139100067317
5080,design,1,2.0,2.0,2,75.0,112.0,112.0,112.0,112.0,12.0,13.0,10.0,0.7692307692307693,112.0,7.0,7.0,7.870425499975681
5100,design,3,18.0,18.0,15,108.0,118.0,,120.0,,3360.0,415.0,364.0,0.8771084337349397,142.0,7.0,6.704444444444445,97.72721969988197
5110,design,2,11.0,11.0,10,75.0,112.0,,118.0,117.0,90.0,59.0,43.0,0.7288135593220338,118.0,7.0,7.0,44.7239750996232
5120,design,2,7.0,7.0,7,108.0,110.0,118.0,118.0,118.0,255.0,120.0,105.0,0.875,118.0,7.0,7.0,19.633090700022876
5130,design,2,4.0,4.0,4,75.0,112.0,112.0,112.0,112.0,66.0,39.0,31.0,0.7948717948717948,112.0,7.0,7.0,8.496073599904776
5140,design,1,5.0,5.0,5,108.0,110.0,,118.0,,15.0,16.0,10.0,0.625,118.0,7.0,6.5566666666666675,16.216655399650335
5150,design,3,6.0,6.0,6,108.0,110.0,,113.0,,2912.0,208.0,186.0,0.8942307692307693,132.0,7.0,6.78,18.691779300104827
5160,design,2,7.0,7.0,7,108.0,110.0,118.0,118.0,118.0,240.0,113.0,98.0,0.8672566371681416,118.0,7.0,7.0,19.997900399845093
5170,design,1,6.0,6.0,6,109.0,,,,,11.0,12.0,5.0,0.4166666666666667,113.0,6.916666666666667,6.5566666666666675,12.93598649976775
6010,design,3,21.0,21.0,16,108.0,,,,,1232.0,211.0,172.0,0.8151658767772512,173.0,6.958333333333333,6.703333333333334,96.98777200002223
6030,design,2,8.0,8.0,6,108.0,110.0,,,,225.0,137.0,119.0,0.8686131386861314,118.0,6.916666666666667,6.611666666666667,16.223298700060695
6040,design,2,3.0,3.0,3,75.0,112.0,112.0,75.0,112.0,182.0,66.0,58.0,0.8787878787878788,112.0,7.0,7.0,7.777296099811792
6050,design,3,17.0,17.0,17,108.0,110.0,,120.0,,2925.0,366.0,318.0,0.8688524590163934,142.0,7.0,6.77888888888889,100.19502710038796
6060,design,3,8.0,8.0,8,108.0,,,,,2992.0,244.0,219.0,0.8975409836065574,118.0,6.833333333333333,6.333333333333333,23.064453199971467
6080,design,3,4.0,4.0,4,108.0,110.0,,,,2816.0,162.0,147.0,0.9074074074074074,110.0,6.916666666666667,6.5566666666666675,14.585012100171298
6090,design,3,14.0,14.0,13,110.0,118.0,142.0,120.0,142.0,3150.0,339.0,297.0,0.8761061946902655,142.0,7.0,7.0,95.04256480000913
6100,design,3,14.0,14.0,13,110.0,118.0,,120.0,,3120.0,353.0,311.0,0.8810198300283286,142.0,7.0,6.852222222222223,94.68847940023988
6110,design,3,13.0,13.0,11,110.0,141.0,,,,1716.0,187.0,157.0,0.839572192513369,141.0,6.9444444444444455,6.500555555555555,71.15604879986495
