pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P12,17|76,75.0,6.66875,5.9155,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7560_S1,design,7560,
P9,10|76,85.0,6.408333333333333,6.223,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D7560_S2,design,7560,
P10,10|77,106.0,5.883333333333333,6.555999999999999,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D7560_S3,design,7560,
P6,10|89,108.0,6.291666666666667,6.890000000000001,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7560_S4,design,7560,
P8,10|92,109.0,6.508333333333333,6.323,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D7560_S5,design,7560,
P4,41|92,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7560_S6,design,7560,
P11,17|89,112.0,6.552083333333334,6.5825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7560_S7,design,7560,
P7,10|106,113.0,6.583333333333334,6.556666666666667,16,2.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,D7560_S8,design,7560,
P3,41|89,117.0,6.583333333333334,7.0,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7560_S9,design,7560,
P2,41|124,118.0,7.0,6.778333333333334,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D7560_S10,design,7560,
P1,41|133,147.0,6.958333333333334,6.890000000000001,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D7560_S11,design,7560,
