pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P6,70,75.0,6.166666666666667,2.5566666666666666,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D5170_S1,design,5170,
P5,81,105.0,4.5,5.553333333333334,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D5170_S2,design,5170,
P4,84,108.0,6.0,5.8325,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D5170_S3,design,5170,
P2,93,109.0,6.333333333333333,6.5566666666666675,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D5170_S4,design,5170,
P3,114,110.0,6.916666666666667,5.666666666666667,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D5170_S5,design,5170,
P1,106,113.0,6.75,6.333333333333333,16,2.0,6.0,6.0,3.0,2.0,2.0,6.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,2.0,D5170_S6,design,5170,
