pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P16,13|76|72,75.0,6.188888888888889,5.147555555555556,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D6050_S1,design,6050,
P11,10|76|72,85.0,5.9944444444444445,5.407555555555555,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D6050_S2,design,6050,
P13,10|81|81,105.0,5.138888888888889,5.9622222222222225,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D6050_S3,design,6050,
P12,10|77|72,106.0,5.644444444444445,5.629555555555555,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D6050_S4,design,6050,
P8,10|89|88,108.0,6.4444444444444455,6.648333333333333,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D6050_S5,design,6050,
P10,10|92|92,109.0,6.538888888888889,6.1706666666666665,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D6050_S6,design,6050,
P7,10|89|87,110.0,6.5,6.77888888888889,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D6050_S7,design,6050,
P2,30|92|92,112.0,6.733333333333333,6.244,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D6050_S8,design,6050,
P15,13|89|88,112.0,6.638888888888889,6.388333333333333,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D6050_S9,design,6050,
P9,10|106|106,113.0,6.638888888888889,6.482222222222222,16,2.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,D6050_S10,design,6050,
P1,30|89|88,117.0,6.638888888888889,6.721666666666667,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D6050_S11,design,6050,
P17,33|124|124,118.0,6.770833333333333,6.509444444444445,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D6050_S12,design,6050,
P14,13|124|124,120.0,7.0,6.371111111111112,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D6050_S13,design,6050,
P6,25|89|87,121.0,6.6944444444444455,6.742222222222222,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D6050_S14,design,6050,
P5,25|124|124,124.0,7.0,6.594444444444445,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D6050_S15,design,6050,
P4,40|124|124,130.0,6.944444444444444,6.667777777777779,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D6050_S16,design,6050,
P3,39|124|124,142.0,7.0,6.704444444444445,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D6050_S17,design,6050,
