pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P12,17|17|78,75.0,6.708333333333333,5.294444444444443,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7100_S1,design,7100,
P15,8|8|81,105.0,5.033333333333334,5.407111111111111,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D7100_S2,design,7100,
P13,8|8|88,108.0,5.783333333333334,5.611,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7100_S3,design,7100,
P14,8|8|93,109.0,5.644444444444445,5.741555555555556,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D7100_S4,design,7100,
P8,26|27|114,110.0,6.708333333333333,6.1194444444444445,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D7100_S5,design,7100,
P11,17|17|88,112.0,6.875,6.164999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7100_S6,design,7100,
P2,30|30|93,112.0,6.777777777777778,6.852222222222223,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7100_S7,design,7100,
P1,30|30|88,117.0,6.916666666666667,6.721666666666667,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7100_S8,design,7100,
P10,17|17|87,121.0,6.930555555555556,6.295555555555556,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D7100_S9,design,7100,
P6,40|40|123,130.0,6.8055555555555545,6.815555555555556,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D7100_S10,design,7100,
P9,17|17|133,132.0,6.930555555555556,6.37,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D7100_S11,design,7100,
P5,40|40|105,141.0,6.888888888888888,6.815555555555556,15,3.0,6.0,6.0,4.0,4.0,4.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,D7100_S12,design,7100,
P4,39|39|123,142.0,6.916666666666667,6.888888888888889,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D7100_S13,design,7100,
P3,39|39|133,147.0,6.972222222222222,6.926666666666667,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D7100_S14,design,7100,
P7,65|65|105,173.0,7.0,6.443888888888889,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D7100_S15,design,7100,
