pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P16,72|17|13,75.0,6.368055555555556,5.313888888888889,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7270_S1,design,7270,
P17,72|6|6,85.0,5.763888888888889,5.480555555555555,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D7270_S2,design,7270,
P15,81|6|6,105.0,5.541666666666667,6.072777777777778,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D7270_S3,design,7270,
P13,88|6|6,108.0,6.291666666666667,6.276666666666666,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7270_S4,design,7270,
P9,109|26|24,110.0,6.548611111111111,6.424722222222222,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D7270_S5,design,7270,
P11,88|17|13,112.0,6.895833333333333,6.109999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7270_S6,design,7270,
P14,92|30|30,112.0,6.866666666666667,6.622,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7270_S7,design,7270,
P10,88|30|30,117.0,6.916666666666667,6.721666666666667,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7270_S8,design,7270,
P2,87|17|13,121.0,6.951388888888889,6.240555555555556,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D7270_S9,design,7270,
P7,109|39|39,133.0,6.875,6.7775,15,2.0,6.0,6.0,5.0,3.0,4.0,7.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D7270_S10,design,7270,
