pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P8,16|76,75.0,6.575,6.208,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7830_S1,design,7830,
P20,6|77,106.0,5.70625,6.332249999999999,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D7830_S2,design,7830,
P19,6|88,108.0,6.40625,6.248749999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D7830_S3,design,7830,
P18,6|87,110.0,6.489583333333334,6.444583333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D7830_S4,design,7830,
P16,26|109,110.0,6.479166666666666,6.554583333333333,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D7830_S5,design,7830,
P2,30|92,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7830_S6,design,7830,
P7,16|88,112.0,6.75,6.4575,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7830_S7,design,7830,
P17,6|105,113.0,6.53125,6.499583333333334,16,2.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,D7830_S8,design,7830,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7830_S9,design,7830,
P6,16|123,120.0,6.75,6.708333333333334,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D7830_S10,design,7830,
P5,16|87,121.0,6.833333333333334,6.653333333333334,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D7830_S11,design,7830,
P15,26|123,124.0,6.541666666666666,6.721666666666667,16,2.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D7830_S12,design,7830,
P14,26|105,131.0,6.666666666666666,6.721666666666667,16,3.0,5.0,5.0,4.0,3.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,D7830_S13,design,7830,
P4,16|133,132.0,6.833333333333334,6.765000000000001,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D7830_S14,design,7830,
P13,36|105,141.0,6.9,6.566833333333333,15,3.0,6.0,6.0,4.0,4.0,4.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,D7830_S15,design,7830,
P12,36|133,147.0,6.858333333333333,6.6235,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D7830_S16,design,7830,
P11,65|105,173.0,7.0,6.499583333333334,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D7830_S17,design,7830,
P10,65|133,176.0,6.958333333333334,6.55625,1,6.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,D7830_S18,design,7830,
