pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P5,13|13|76,75.0,6.8,5.8886666666666665,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D6180_S1,design,6180,
P4,13|13|88,112.0,6.916666666666667,6.055,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D6180_S2,design,6180,
P11,43|30|92,112.0,6.088888888888889,6.473111111111112,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D6180_S3,design,6180,
P6,13|13|77,114.0,6.45,6.110666666666667,1,2.0,4.0,5.0,6.0,3.0,3.0,7.0,3.0,1.0,2.0,2.0,6.0,4.0,4.0,3.0,D6180_S4,design,6180,
P7,64|64|88,114.0,6.316666666666666,6.542999999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D6180_S5,design,6180,
P10,43|30|88,117.0,6.138888888888889,6.572777777777778,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D6180_S6,design,6180,
P15,43|33|125,118.0,5.993055555555556,6.6561111111111115,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D6180_S7,design,6180,
P3,13|13|125,120.0,7.0,6.333333333333333,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D6180_S8,design,6180,
P14,43|25|87,121.0,6.1944444444444455,6.593333333333334,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D6180_S9,design,6180,
P13,43|25|125,124.0,6.222222222222222,6.741111111111111,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D6180_S10,design,6180,
