pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P9,16|76|76,75.0,6.516666666666667,6.027333333333334,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D6220_S1,design,6220,
P13,10|76|76,85.0,6.405555555555556,6.037333333333333,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D6220_S2,design,6220,
P14,10|77|77,106.0,5.705555555555556,6.481333333333332,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D6220_S3,design,6220,
P11,10|88|88,108.0,6.638888888888889,6.37,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D6220_S4,design,6220,
P12,10|92|93,109.0,6.449999999999999,6.40088888888889,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D6220_S5,design,6220,
P10,10|87|87,110.0,6.75,6.631111111111111,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D6220_S6,design,6220,
P1,30|88|88,117.0,6.833333333333333,6.4433333333333325,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D6220_S7,design,6220,
P16,33|125|124,118.0,6.770833333333333,6.657222222222223,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D6220_S8,design,6220,
P7,16|125|124,120.0,6.916666666666667,6.768888888888889,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D6220_S9,design,6220,
P15,27|125|124,124.0,6.958333333333333,6.490555555555556,16,2.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D6220_S10,design,6220,
P6,40|125|124,130.0,6.944444444444444,6.815555555555556,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D6220_S11,design,6220,
P4,39|125|124,142.0,7.0,6.852222222222223,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D6220_S12,design,6220,
