pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P14,17|76,75.0,6.66875,5.9155,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D8540_S1,design,8540,
P9,10|76,85.0,6.408333333333333,6.223,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D8540_S2,design,8540,
P10,10|77,106.0,5.883333333333333,6.555999999999999,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D8540_S3,design,8540,
P7,10|88,108.0,6.583333333333334,6.4725,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D8540_S4,design,8540,
P8,10|93,109.0,6.375,6.668333333333334,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D8540_S5,design,8540,
P6,10|87,110.0,6.666666666666667,6.668333333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D8540_S6,design,8540,
P13,17|88,112.0,6.84375,6.164999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D8540_S7,design,8540,
P2,30|93,112.0,6.666666666666666,6.778333333333334,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D8540_S8,design,8540,
P3,30|76,115.0,6.7,6.333,16,2.0,6.0,5.0,5.0,2.0,2.0,6.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,D8540_S9,design,8540,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D8540_S10,design,8540,
P12,17|125,120.0,6.96875,6.5825,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D8540_S11,design,8540,
P11,26|125,124.0,6.666666666666666,6.888333333333334,16,2.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D8540_S12,design,8540,
P5,40|125,130.0,6.916666666666666,6.945,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D8540_S13,design,8540,
P4,39|125,142.0,7.0,7.0,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D8540_S14,design,8540,
