pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P5,17|17|73,75.0,6.666666666666667,5.665833333333333,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D6010_S1,design,6010,
P21,8|10|81,105.0,5.405555555555556,5.889111111111112,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D6010_S2,design,6010,
P20,8|10|88,108.0,6.155555555555556,6.093,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D6010_S3,design,6010,
P19,8|10|87,110.0,6.211111111111111,6.223555555555556,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D6010_S4,design,6010,
P4,17|17|88,112.0,6.875,6.164999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D6010_S5,design,6010,
P12,43|30|92,112.0,6.088888888888889,6.473111111111112,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D6010_S6,design,6010,
P6,64|64|88,114.0,6.316666666666666,6.542999999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D6010_S7,design,6010,
P11,43|30|88,117.0,6.138888888888889,6.572777777777778,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D6010_S8,design,6010,
P3,17|17|124,120.0,6.958333333333333,6.295555555555556,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D6010_S9,design,6010,
P17,43|26|87,121.0,5.972222222222222,6.628888888888889,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D6010_S10,design,6010,
P16,43|26|124,124.0,6.0,6.628888888888889,16,2.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D6010_S11,design,6010,
P10,9|10|87,127.0,6.361111111111112,6.500555555555555,16,3.0,4.0,4.0,5.0,3.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,D6010_S12,design,6010,
P15,43|40|124,130.0,6.166666666666667,6.666666666666668,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D6010_S13,design,6010,
P7,64|64|129,133.0,6.177777777777777,6.598,1,7.0,7.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,1.0,7.0,3.0,5.0,1.0,7.0,D6010_S14,design,6010,
P13,43|39|124,142.0,6.222222222222222,6.703333333333334,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D6010_S15,design,6010,
P1,65|65|106,173.0,6.916666666666667,6.332777777777777,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D6010_S16,design,6010,
