pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P13,13|76,75.0,6.7,5.833,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D1050_S1,design,1050,
P18,6|76,85.0,6.23125,5.99925,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D1050_S2,design,1050,
P19,6|77,106.0,5.70625,6.332249999999999,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D1050_S3,design,1050,
P17,6|88,108.0,6.40625,6.248749999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D1050_S4,design,1050,
P14,24|109,110.0,6.65625,6.248749999999999,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D1050_S5,design,1050,
P16,6|87,110.0,6.489583333333334,6.444583333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D1050_S6,design,1050,
P12,13|88,112.0,6.875,6.0825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D1050_S7,design,1050,
P2,30|92,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D1050_S8,design,1050,
P15,64|88,114.0,6.425,6.448499999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D1050_S9,design,1050,
P10,25|109,116.0,6.8125,6.501249999999999,16,2.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,D1050_S10,design,1050,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D1050_S11,design,1050,
P11,13|124,120.0,7.0,6.278333333333334,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D1050_S12,design,1050,
P9,25|87,121.0,6.958333333333334,6.613333333333333,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D1050_S13,design,1050,
P8,25|124,124.0,7.0,6.613333333333333,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D1050_S14,design,1050,
P3,30|77,127.0,6.175,6.6659999999999995,15,3.0,6.0,6.0,4.0,3.0,3.0,7.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,D1050_S15,design,1050,
P7,40|124,130.0,6.916666666666666,6.7233333333333345,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D1050_S16,design,1050,
P4,39|124,142.0,7.0,6.778333333333334,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D1050_S17,design,1050,
