pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P10,13|72|76,75.0,6.18888888888889,5.147555555555556,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D5100_S1,design,5100,
P17,6|72|76,85.0,5.87638888888889,5.258388888888889,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D5100_S2,design,5100,
P16,6|81|81,105.0,5.020833333333333,5.8130555555555565,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D5100_S3,design,5100,
P18,6|72|77,106.0,5.526388888888889,5.480388888888889,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D5100_S4,design,5100,
P15,6|88|88,108.0,6.520833333333333,6.220833333333332,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D5100_S5,design,5100,
P14,6|87|87,110.0,6.6319444444444455,6.481944444444445,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D5100_S6,design,5100,
P9,13|88|88,112.0,6.833333333333333,6.109999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D5100_S7,design,5100,
P2,30|92|92,112.0,6.733333333333333,6.244,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D5100_S8,design,5100,
P1,30|88|88,117.0,6.833333333333333,6.4433333333333325,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D5100_S9,design,5100,
P13,33|124|124,118.0,6.770833333333333,6.509444444444445,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D5100_S10,design,5100,
P8,13|124|124,120.0,7.0,6.371111111111112,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D5100_S11,design,5100,
P7,25|87|87,121.0,6.9444444444444455,6.594444444444445,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D5100_S12,design,5100,
P6,25|124|124,124.0,7.0,6.594444444444445,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D5100_S13,design,5100,
P5,40|124|124,130.0,6.944444444444444,6.667777777777779,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D5100_S14,design,5100,
P3,39|124|124,142.0,7.0,6.704444444444445,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D5100_S15,design,5100,
