pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P9,13|76,75.0,6.7,5.833,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D7690_S1,design,7690,
P10,24|109,110.0,6.65625,6.248749999999999,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D7690_S2,design,7690,
P8,13|88,112.0,6.875,6.0825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D7690_S3,design,7690,
P2,30|92,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D7690_S4,design,7690,
P11,64|88,114.0,6.425,6.448499999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D7690_S5,design,7690,
P6,25|109,116.0,6.8125,6.501249999999999,16,2.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,D7690_S6,design,7690,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D7690_S7,design,7690,
P12,33|125,118.0,6.65625,6.7075,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D7690_S8,design,7690,
P7,13|125,120.0,7.0,6.5,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D7690_S9,design,7690,
P5,25|87,121.0,6.958333333333334,6.613333333333333,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D7690_S10,design,7690,
P4,25|125,124.0,7.0,6.834999999999999,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D7690_S11,design,7690,
