pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P12,13|78|76,75.0,6.55,5.0731111111111105,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D8050_S1,design,8050,
P19,6|78|76,85.0,6.2375,5.183944444444443,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D8050_S2,design,8050,
P18,6|81|81,105.0,5.020833333333333,5.8130555555555565,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D8050_S3,design,8050,
P20,6|78|77,106.0,5.8875,5.405944444444444,1,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0,D8050_S4,design,8050,
P16,6|89|89,108.0,6.1319444444444455,6.7775,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D8050_S5,design,8050,
P17,6|93|92,109.0,6.331944444444443,6.251722222222223,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D8050_S6,design,8050,
P2,30|93|92,112.0,6.644444444444443,6.474222222222223,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D8050_S7,design,8050,
P11,13|89|89,112.0,6.4444444444444455,6.666666666666667,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D8050_S8,design,8050,
P13,64|89|89,114.0,6.144444444444445,6.910666666666667,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D8050_S9,design,8050,
P1,30|89|89,117.0,6.4444444444444455,7.0,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D8050_S10,design,8050,
P15,33|123|124,118.0,6.6875,6.546111111111112,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D8050_S11,design,8050,
P10,13|123|124,120.0,6.916666666666667,6.4077777777777785,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D8050_S12,design,8050,
P8,25|123|124,124.0,6.916666666666667,6.631111111111111,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D8050_S13,design,8050,
P6,40|123|124,130.0,6.861111111111111,6.704444444444445,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D8050_S14,design,8050,
P9,13|133|133,132.0,6.9444444444444455,6.5200000000000005,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D8050_S15,design,8050,
P4,39|123|124,142.0,6.916666666666667,6.741111111111112,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D8050_S16,design,8050,
P3,39|133|133,147.0,6.9444444444444455,6.853333333333334,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D8050_S17,design,8050,
