pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P18,70|76|13,75.0,6.522222222222222,4.740888888888889,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D3140_S1,design,3140,
P17,81|81|8,105.0,4.766666666666667,5.480222222222223,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D3140_S2,design,3140,
P16,84|89|8,108.0,5.822222222222223,6.055499999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D3140_S3,design,3140,
P12,92|92|8,109.0,6.166666666666667,5.688666666666666,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D3140_S4,design,3140,
P10,109|115|24,110.0,6.395833333333333,5.526666666666666,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D3140_S5,design,3140,
P11,92|92|30,112.0,6.733333333333333,6.244,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D3140_S6,design,3140,
P14,84|89|13,112.0,6.388888888888889,6.2775,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D3140_S7,design,3140,
P15,84|89|64,114.0,6.088888888888889,6.5215,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D3140_S8,design,3140,
P13,84|89|30,117.0,6.388888888888889,6.610833333333333,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D3140_S9,design,3140,
P7,124|125|33,118.0,6.770833333333333,6.657222222222223,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D3140_S10,design,3140,
P6,124|125|13,120.0,7.0,6.518888888888889,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D3140_S11,design,3140,
P5,124|125|25,124.0,7.0,6.742222222222222,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D3140_S12,design,3140,
P4,124|125|40,130.0,6.944444444444444,6.815555555555556,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D3140_S13,design,3140,
P3,124|125|39,142.0,7.0,6.852222222222223,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D3140_S14,design,3140,
