pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P12,16|70,75.0,6.458333333333334,4.653333333333333,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D5010_S1,design,5010,
P19,8|81,105.0,4.9,5.443666666666667,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D5010_S2,design,5010,
P18,8|88,108.0,6.025,5.749499999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D5010_S3,design,5010,
P15,26|113,110.0,6.375,5.831666666666667,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D5010_S4,design,5010,
P17,8|87,110.0,6.108333333333333,5.945333333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D5010_S5,design,5010,
P2,30|92,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D5010_S6,design,5010,
P11,16|88,112.0,6.75,6.4575,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D5010_S7,design,5010,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D5010_S8,design,5010,
P10,16|123,120.0,6.75,6.708333333333334,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D5010_S9,design,5010,
P9,16|87,121.0,6.833333333333334,6.653333333333334,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D5010_S10,design,5010,
P14,26|123,124.0,6.541666666666666,6.721666666666667,16,2.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,D5010_S11,design,5010,
P7,40|123,130.0,6.791666666666666,6.778333333333334,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D5010_S12,design,5010,
P8,16|133,132.0,6.833333333333334,6.765000000000001,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D5010_S13,design,5010,
P16,53|87,137.0,6.883333333333333,5.544333333333333,1,5.0,3.0,3.0,4.0,3.0,7.0,7.0,5.0,1.0,6.0,6.0,4.0,2.0,3.0,7.0,D5010_S14,design,5010,
P6,40|105,141.0,6.916666666666666,6.778333333333334,15,3.0,6.0,6.0,4.0,4.0,4.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,D5010_S15,design,5010,
P4,39|123,142.0,6.875,6.833333333333334,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D5010_S16,design,5010,
P3,39|133,147.0,6.958333333333334,6.890000000000001,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D5010_S17,design,5010,
P13,65|105,173.0,7.0,6.499583333333334,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D5010_S18,design,5010,
