pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P14,70|13,75.0,6.583333333333334,4.278333333333333,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D3010_S1,design,3010,
P13,81|8,105.0,4.9,5.443666666666667,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D3010_S2,design,3010,
P10,88|8,108.0,6.025,5.749499999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D3010_S3,design,3010,
P12,113|27,110.0,6.645833333333334,5.400833333333333,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D3010_S4,design,3010,
P3,87|8,110.0,6.108333333333333,5.945333333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D3010_S5,design,3010,
P8,88|13,112.0,6.875,6.0825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D3010_S6,design,3010,
P11,92|30,112.0,6.8,6.433,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D3010_S7,design,3010,
P9,88|64,114.0,6.425,6.448499999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D3010_S8,design,3010,
P7,88|30,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D3010_S9,design,3010,
P1,87|13,121.0,6.958333333333334,6.278333333333334,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D3010_S10,design,3010,
P4,106|40,141.0,6.791666666666666,6.611666666666666,15,3.0,6.0,6.0,4.0,4.0,4.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,D3010_S11,design,3010,
