pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P5,16|76|76,75.0,6.516666666666667,6.027333333333334,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D3020_S1,design,3020,
P10,8|87|87,110.0,6.377777777777777,6.149111111111112,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D3020_S2,design,3020,
P4,16|88|88,112.0,6.75,6.359999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D3020_S3,design,3020,
P6,16|77|77,114.0,5.816666666666666,6.471333333333333,1,2.0,4.0,5.0,6.0,3.0,3.0,7.0,3.0,1.0,2.0,2.0,6.0,4.0,4.0,3.0,D3020_S4,design,3020,
P9,43|123|123,118.0,6.055555555555556,6.628888888888889,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D3020_S5,design,3020,
P3,16|123|123,120.0,6.75,6.6944444444444455,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D3020_S6,design,3020,
P2,16|87|87,121.0,6.861111111111112,6.621111111111112,16,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,D3020_S7,design,3020,
P1,16|133|133,132.0,6.861111111111112,6.7700000000000005,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D3020_S8,design,3020,
P8,65|105|105,173.0,7.0,6.555277777777778,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D3020_S9,design,3020,
P7,65|133|133,176.0,6.9444444444444455,6.630833333333334,1,6.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,D3020_S10,design,3020,
