pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P8,13|73|73,75.0,6.416666666666667,5.111666666666667,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D6100_S1,design,6100,
P14,8|81|81,105.0,4.766666666666667,5.480222222222223,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D6100_S2,design,6100,
P12,8|88|88,108.0,6.266666666666667,5.887999999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D6100_S3,design,6100,
P13,8|92|93,109.0,6.077777777777778,5.9188888888888895,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D6100_S4,design,6100,
P9,27|113|114,110.0,6.736111111111112,5.489444444444445,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D6100_S5,design,6100,
P11,8|87|87,110.0,6.377777777777777,6.149111111111112,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D6100_S6,design,6100,
P7,13|88|88,112.0,6.833333333333333,6.109999999999999,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D6100_S7,design,6100,
P2,30|92|93,112.0,6.644444444444445,6.474222222222223,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D6100_S8,design,6100,
P1,30|88|88,117.0,6.833333333333333,6.4433333333333325,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D6100_S9,design,6100,
P10,33|125|124,118.0,6.770833333333333,6.657222222222223,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D6100_S10,design,6100,
P6,13|125|124,120.0,7.0,6.518888888888889,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D6100_S11,design,6100,
P5,40|125|124,130.0,6.944444444444444,6.815555555555556,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D6100_S12,design,6100,
P3,39|125|124,142.0,7.0,6.852222222222223,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D6100_S13,design,6100,
