pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P11,13|76,75.0,6.7,5.833,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D3110_S1,design,3110,
P14,8|93,109.0,5.816666666666666,5.945333333333334,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D3110_S2,design,3110,
P12,24|114,110.0,6.802083333333334,5.9158333333333335,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D3110_S3,design,3110,
P13,8|87,110.0,6.108333333333333,5.945333333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D3110_S4,design,3110,
P10,13|88,112.0,6.875,6.0825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D3110_S5,design,3110,
P2,30|93,112.0,6.666666666666666,6.778333333333334,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D3110_S6,design,3110,
P3,30|76,115.0,6.7,6.333,16,2.0,6.0,5.0,5.0,2.0,2.0,6.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,D3110_S7,design,3110,
P1,30|88,117.0,6.875,6.5825,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D3110_S8,design,3110,
P8,25|114,119.0,6.958333333333334,6.168333333333333,16,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,2.0,3.0,D3110_S9,design,3110,
P9,13|125,120.0,7.0,6.5,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D3110_S10,design,3110,
P7,25|87,121.0,6.958333333333334,6.613333333333333,16,2.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,D3110_S11,design,3110,
P6,25|125,124.0,7.0,6.834999999999999,16,2.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,D3110_S12,design,3110,
P5,40|125,130.0,6.916666666666666,6.945,1,2.0,7.0,5.0,6.0,2.0,1.0,7.0,6.0,6.0,1.0,4.0,6.0,5.0,4.0,5.0,D3110_S13,design,3110,
P4,39|125,142.0,7.0,7.0,15,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,D3110_S14,design,3110,
