pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P7,13|73,75.0,6.5625,5.33375,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D5020_S1,design,5020,
P18,8|81,105.0,4.9,5.443666666666667,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D5020_S2,design,5020,
P17,8|88,108.0,6.025,5.749499999999999,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D5020_S3,design,5020,
P16,8|87,110.0,6.108333333333333,5.945333333333334,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D5020_S4,design,5020,
P6,13|88,112.0,6.875,6.0825,16,2.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,D5020_S5,design,5020,
P14,43|92,112.0,5.633333333333333,6.209666666666667,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D5020_S6,design,5020,
P8,64|88,114.0,6.425,6.448499999999999,1,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,D5020_S7,design,5020,
P13,43|124,118.0,5.833333333333334,6.555000000000001,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D5020_S8,design,5020,
P5,13|124,120.0,7.0,6.278333333333334,16,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,D5020_S9,design,5020,
P12,43|105,120.0,5.833333333333334,6.61,16,2.0,6.0,5.0,4.0,2.0,2.0,6.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,D5020_S10,design,5020,
P4,13|133,132.0,6.958333333333334,6.390000000000001,1,4.0,6.0,7.0,6.0,3.0,5.0,7.0,7.0,2.0,3.0,6.0,4.0,5.0,2.0,1.0,D5020_S11,design,5020,
P9,64|129,133.0,6.216666666666667,6.531000000000001,1,7.0,7.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,1.0,7.0,3.0,5.0,1.0,7.0,D5020_S12,design,5020,
P11,43|133,147.0,5.791666666666667,6.666666666666667,14,4.0,6.0,6.0,6.0,3.0,3.0,7.0,7.0,5.0,3.0,6.0,6.0,5.0,3.0,5.0,D5020_S13,design,5020,
P2,65|105,173.0,7.0,6.499583333333334,1,6.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.0,5.0,3.0,5.0,D5020_S14,design,5020,
P1,65|133,176.0,6.958333333333334,6.55625,1,6.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,D5020_S15,design,5020,
